Jeremy Irons
Michael Ironside
Kate Jackson
Famke Janssen
Jim Jarmusch
Ron Jeremy
Don Johnson
Jeffrey Jones
Raul Julia
Boris Karloff
Diane Keaton
Michael Keaton
Patsy Kensit
Sally Kirkland
Mia Kirshner
Tawny Kitaen
Elias Koteas
Alice Krige
Sylvia Kristel
Christopher Lambert
John Landis
Fritz Lang
Heather Langenkamp
Ang Lee
Brandon Lee
Spike Lee
John Leguizamo
Jennifer Jason Leigh
Jack Lemmon
Robert Sean Leonard
Juliette Lewis
Jennifer Lien
Matthew Lillard
Richard Linklater
Ray Liotta
Christopher Lloyd
Emily Lloyd
Amy Locane
Nia Long
Rob Lowe
Carey Lowell
Andie MacDowell
Shirley MacLaine
Elle Macpherson
Michael Madsen
Virginia Madsen
Lee Majors
Terrence Malick
John Malkovich
Michael Mann
Sophie Marceau
Vanessa Marcil
Julianna Margulies
Mary Stuart Masterson
Heather Matarazzo
Samantha Mathis
Walter Matthau
Mathilda May
Andrew McCarthy
Frances McDormand
Malcolm McDowell
Gates McFadden
Kelly McGillis
Rose McGowan
Robert Duncan McNeill
Steve McQueen
Colm Meaney
Russ Meyer
Bette Midler
Penelope Ann Miller
Sal Mineo
Carmen Miranda
Helen Mirren
Matthew Modine
Alfred Molina
Elizabeth Montgomery
Kate Mulgrew
Dermot Mulroney
Eddie Murphy
Liam Neeson
Sam Neill
Judd Nelson
Brigitte Nielsen
Leslie Nielsen
Nick Nolte
Peter North
Jeremy Northam
Lena Olin
Julia Ormond
George Orwell
Frank Oz
Alan Parker
Sarah Jessica Parker
Dolly Parton
Jason Patric
Alexandra Paul
Sean Penn
George Peppard
Anthony Perkins
Luke Perry
Joe Pesci
Wolfgang Petersen
Amanda Peterson
Robert Picardo
Jada Pinkett Smith
Donald Pleasence
Martha Plimpton
Edgar Allan Poe
Roman Polanski
Pete Postlethwaite
Kelly Preston
Jason Priestley
Victoria Principal
Jonathan Pryce
Bill Pullman
Dennis Quaid
Sam Raimi
Harold Ramis
Robert Redford
Vanessa Redgrave
Brad Renfro
Jean Reno
Paul Reubens
Burt Reynolds
Giovanni Ribisi
Ariana Richards
Denise Richards
Joely Richardson
Alan Rickman
John Ritter
Eric Roberts
Tanya Roberts
Isabella Rossellini
Mickey Rourke
Kurt Russell
Theresa Russell
Rene Russo
