fred astaire
joey lauren adams

maud adams

john agar

danny aiello

eddie albert

jane alexander

muhammad ali

tim allen

june allyson

maria conchita alonso

carol alt

trini alvarado

leon ames

jon amiel

judith anderson

juliet anderson

kevin anderson

lindsay anderson

loni anderson

melissa sue anderson

melody anderson

richard dean anderson

anthony andrews

dana andrews

pier angeli

theodoros angelopoulos

francesca annis

david anspaugh

lysette anthony

susan anton

laura antonelli

michelangelo antonioni

christina applegate

michael apted

denys arcand

eve arden

asia argento

dario argento

alison armitage

george armitage

bess armstrong

gillian armstrong

james arness

jack arnold

tom arnold

alexis arquette

jean arthur

dana ashbrook

hal ashby

linden ashby

olivier assayas

christopher atkins

claudine auger

bille august

paul auster

gene autry

frankie avalon

roger avary

tex avery

jon avnet

shabana azmi

amitabh bachchan

jim backus

angelo badalamenti

john badham

mary badham

jane badler

maxine bahns

diane baker

joe don baker

ralph bakshi

scott bakula

bob balaban

michael ballhaus

martin balsam

anne bancroft

tamasaburo bando

tallulah bankhead

ian bannen

bruno barreto

majel barrett

ethel barrymore

john drew barrymore

john barrymore

paul bartel

robin bartlett

billy barty

mikhail baryshnikov

richard basehart

kathy bates

patrick bauchau

belinda bauer

noah baumbach

lamberto bava

meredith baxter

nathalie baye

stephanie beacham

warren beatty

harold becker

meret becker

wallace beery

jason beghe

barbara bel geddes

harry belafonte

ralph bellamy

pamela bellwood

brian benben

william bendix

roberto benigni

annette bening

robert benton

bruce beresford

peter berg

polly bergen

helmut berger

patrick bergin

andrew bergman

sandahl bergman

elizabeth berkley

milton berle

irving berlin

elmer bernstein

valerie bertinelli

bernardo bertolucci

martine beswick

richard beymer

daniela bianchi

bigas luna

kathryn bigelow

theodore bikel

traci bingham

antonia bird

jane birkin

whit bissell

shane black

brenda blethyn

hart bochner

peter bogdanovich

ward bond

lisa bonet

jan de bont

john boorman

barry bostwick

carole bouquet

stephen boyd

eric braeden

sonia braga

jonathan brandis

nicoletta braschi

benjamin bratt

walter brennan

robert bresson

martin brest

lloyd bridges

jim broadbent

josh brolin

albert brooks

avery brooks

bryan brown

jim brown

jerry bruckheimer

betty buckley

billie burke

carol burnett

raymond burr

levar burton

gary busey

jake busey

tom byron

